IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MS_20161108_GEN_PRE_REP_TRUMP,USA_MS_20161108_GEN_PRE_DEM_CLINTON,USA_MS_20161108_GEN_PRE_LIB_JOHNSON,USA_MS_20161108_GEN_PRE_GRE_STEIN,USA_MS_20161108_GEN_PRE_CON_CASTLE,USA_MS_20161108_GEN_PRE_PRO_HEDGES,USA_MS_20161108_GEN_PRE_DEL_FUENTE
0,_027,_Clarksdale 2,_28027000008,597,600,11,4,4,1,0
0,_027,_Clarksdale 3,_28027000009,54,412,4,0,1,1,0
0,_027,_Rena Lara,_28027000010,181,30,1,0,1,0,0
0,_027,_Clarksdale 5,_28027000011,226,1105,6,1,6,1,1
0,_027,_Bobo,_28027000012,39,79,0,0,0,0,0
0,_027,_Roundaway,_28027000013,25,45,0,1,0,0,0
0,_027,_Clarksdale 4,_28027000014,51,1199,5,5,7,2,0
0,_027,_Dublin,_28027000015,89,54,0,0,0,1,0
0,_027,_Cagle Crossing,_28027000016,34,16,0,0,0,0,0
0,_027,_Sasse St. Fire Station,_28027000017,16,459,0,0,2,0,3
0,_027,_Clarksdale Courthouse,_28027000018,228,401,7,0,4,0,0
0,_027,_Clarksdale 4 North,_28027000019,74,100,3,0,0,0,0
0,_029,_Gallman,_28029000101,646,769,7,3,3,2,3
0,_029,_Georgetown North,_28029000103,90,175,1,0,1,1,0
0,_029,_Hazlehurst East,_28029000104,49,1022,5,0,1,3,0
0,_029,_Georgetown South,_28029000201,226,127,1,0,0,0,0
0,_029,_Strong Hope-Union,_28029000202,336,31,2,1,1,0,0
0,_029,_Wesson,_28029000203,545,87,10,1,1,0,1
0,_029,_Beauregard,_28029000204,382,132,4,0,1,1,0
0,_029,_Shady Grove,_28029000205,312,88,2,1,1,0,0
0,_029,_Hazlehurst South,_28029000206,127,193,1,0,0,0,0
0,_029,_Martinsville,_28029000301,223,249,0,0,1,0,0
0,_029,_Centerpoint,_28029000302,465,303,2,2,0,3,0
0,_029,_Hazlehurst West,_28029000303,224,836,3,1,2,2,0
0,_029,_Hazlehurst North,_28029000304,45,104,0,0,0,0,0
0,_029,_Carpenter,_28029000401,51,130,0,1,0,0,0
0,_029,_Dentville,_28029000402,144,42,0,1,1,0,2
0,_029,_Crystal Springs South,_28029000403,455,1145,10,1,3,1,0
0,_029,_Crystal Springs North,_28029000404,76,266,2,2,1,0,1
0,_029,_Crystal Springs East,_28029000501,1214,683,15,2,6,3,0
0,_029,_Crystal Springs West,_28029000502,493,359,8,0,3,0,0
0,_031,_Seminary,_28031000001,1285,160,8,1,4,0,0
0,_031,_Strahan,_28031000002,95,33,1,0,1,0,0
0,_031,_West Collins,_28031000003,84,10,3,0,0,0,0
0,_031,_Richmond,_28031000004,634,37,8,0,1,0,2
0,_031,_Sanford,_28031000005,692,63,6,1,2,0,0
0,_031,_South Collins,_28031000006,278,44,5,0,0,0,0
0,_031,_Collins,_28031000007,718,706,12,4,6,2,0
0,_031,_Williamsburg,_28031000008,215,54,3,1,0,0,0
0,_031,_Dry Creek,_28031000009,89,270,0,0,2,0,0
0,_031,_Lone Star/Black Jack,_28031000010,172,65,0,0,1,0,0
0,_031,_Mt. Olive,_28031000011,483,565,6,1,0,0,1
0,_031,_Rock Hill,_28031000012,109,15,4,0,0,1,0
0,_031,_Gilmer,_28031000013,39,395,0,0,0,0,1
0,_031,_Mitchell,_28031000014,155,8,0,1,0,0,0
0,_031,_Okahay,_28031000015,81,507,3,1,3,0,0
0,_031,_Station Creek,_28031000016,108,273,1,0,0,0,0
0,_031,_Yawn,_28031000017,198,71,1,2,0,0,0
0,_033,_Ingrams Mill,_28033000101,619,263,18,5,13,0,0
0,_033,_Lewisburg East,_28033000102,369,43,9,1,1,0,0
0,_033,_Miller,_28033000103,1764,929,69,7,17,1,0
0,_033,_Fairhaven,_28033000104,914,690,29,6,10,0,0
0,_033,_Olive Branch South,_28033000105,1880,550,61,12,17,2,0
0,_033,_Olive Branch North,_28033000106,1142,709,41,7,8,1,2
