IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20161108_GEN_PRE_DEM_CLINTON,USA_OR_20161108_GEN_PRE_REP_TRUMP,USA_OR_20161108_GEN_PRE_LIB_JOHNSON,USA_OR_20161108_GEN_PRE_GRE_STEIN,USA_OR_20161108_GEN_PRE_OTH_WRITEIN,USA_OR_20161108_GEN_USS_DEM_WYDEN,USA_OR_20161108_GEN_USS_REP_CALLAHAN,USA_OR_20161108_GEN_USS_LIB_LINDSAY,USA_OR_20161108_GEN_USS_GRE_NAVICKAS,USA_OR_20161108_GEN_USS_WOR_LEWALLEN,USA_OR_20161108_GEN_USS_IND_REYNOLDS,USA_OR_20161108_GEN_USS_OTH_WRITEIN,USA_OR_20161108_GEN_GOV_DEM_BROWN,USA_OR_20161108_GEN_GOV_REP_PIERCE,USA_OR_20161108_GEN_GOV_LIB_FOSTER,USA_OR_20161108_GEN_GOV_CON_AUER,USA_OR_20161108_GEN_GOV_IND_THOMASON,USA_OR_20161108_GEN_GOV_OTH_WRITEIN,USA_OR_20161108_GEN_ATG_DEM_ROSENBLUM,USA_OR_20161108_GEN_ATG_REP_CROWE,USA_OR_20161108_GEN_ATG_LIB_HEDBOR,USA_OR_20161108_GEN_ATG_OTH_WRITEIN,USA_OR_20161108_GEN_SOS_DEM_AVAKIAN,USA_OR_20161108_GEN_SOS_REP_RECHARDSON,USA_OR_20161108_GEN_SOS_LIB_DURBIN,USA_OR_20161108_GEN_SOS_GRE_ZUNDEL,USA_OR_20161108_GEN_SOS_CON_MARSH,USA_OR_20161108_GEN_SOS_IND_WELLS,USA_OR_20161108_GEN_SOS_OTH_WRITEIN,USA_OR_20161108_GEN_TRE_DEM_READ,USA_OR_20161108_GEN_TRE_REP_GUDMAN,USA_OR_20161108_GEN_TRE_PRO_HENRY,USA_OR_20161108_GEN_TRE_IND_TELFER,USA_OR_20161108_GEN_TRE_OTH_WRITEIN
0,_Union,_Cove City,_06,83,231,12,5,14,133,186,4,3,8,10,1,83,246,3,7,7,1,99,219,4,1,71,232,7,4,5,15,1,75,212,6,30,1
0,_Union,_Cove Rural,_07,124,390,31,8,10,203,317,11,4,9,15,1,124,408,10,5,8,0,130,375,16,2,103,410,11,3,4,14,0,97,376,11,49,0
0,_Union,_Elgin City,_08,104,554,38,10,11,258,370,13,2,22,41,0,135,526,23,9,14,2,173,478,15,2,122,497,18,4,12,30,0,123,467,23,59,0
0,_Union,_Elgin Rural,_09,67,466,27,4,13,160,378,5,3,8,20,0,75,482,6,9,7,0,94,433,14,1,63,453,13,3,12,20,0,78,417,8,44,0
0,_Union,_Imbler City,_10,24,159,11,0,8,74,112,1,1,2,8,0,25,162,5,2,6,2,33,147,6,0,17,156,4,4,1,12,0,27,145,3,18,0
0,_Union,_Imbler/Summerville Rural,_11,105,505,28,10,22,199,419,8,6,12,20,0,109,527,11,9,12,1,131,480,16,2,102,507,11,6,7,14,0,103,460,13,48,2
0,_Union,_Summerville City,_12,8,56,3,0,2,22,37,0,0,2,4,0,9,50,2,1,2,0,17,41,2,1,6,51,1,0,2,4,0,10,42,1,12,0
0,_Union,_North Powder Rural,_13,9,82,10,0,4,18,78,0,1,2,5,0,11,90,0,0,1,0,13,84,0,1,8,89,0,0,0,2,1,10,78,0,8,0
0,_Union,_North Powder City,_14,40,154,14,8,10,82,113,3,3,11,10,0,52,147,7,2,10,2,72,127,12,0,44,142,9,3,4,9,1,48,126,5,28,1
0,_Union,_Union Rural,_15,51,195,10,5,8,99,154,0,0,2,8,0,51,193,7,12,1,0,63,176,2,0,33,191,3,5,5,7,0,46,178,5,16,0
0,_Union,_Union City,_16,217,813,73,17,30,435,597,12,9,27,41,0,263,780,31,18,35,1,301,722,32,0,216,771,32,13,14,46,1,223,714,29,93,0
0,_Union,_Antelope/Big Creek,_17,5,38,2,0,4,10,34,0,1,0,4,0,9,38,0,0,1,0,15,31,0,0,7,40,0,0,0,1,0,6,30,2,7,0
0,_Union,_Island City,_18,141,441,29,7,11,269,310,5,4,16,20,1,146,450,14,6,15,2,168,397,11,2,121,438,11,5,10,21,2,142,386,9,51,1
0,_Union,_Island City Rural,_19,48,229,13,3,5,95,179,3,3,5,7,0,40,239,6,6,4,0,55,211,10,0,42,227,4,1,2,11,0,42,212,8,15,0
0,_Wallowa,_Enterprise #1,_01,174,395,30,10,15,278,292,6,10,13,12,0,195,392,14,3,7,1,199,361,13,1,156,393,13,10,1,23,0,151,362,15,52,0
0,_Wallowa,_Enterprise #2,_02,116,274,24,9,16,186,229,3,3,6,9,1,119,292,8,8,5,1,132,266,6,1,101,289,4,7,8,8,1,89,261,9,42,1
0,_Wallowa,_Enterprise #3,_03,61,197,7,7,14,112,161,1,3,3,10,0,76,208,3,3,5,0,81,183,3,0,58,203,1,5,5,11,0,52,186,13,21,0
0,_Wallowa,_Enterprise #4,_04,74,220,19,5,16,117,186,5,3,10,9,0,88,222,7,1,8,0,87,213,11,1,68,224,14,4,3,7,0,60,214,11,30,0
0,_Wallowa,_Joseph #5,_05,209,369,27,12,16,284,292,6,11,8,23,1,230,364,15,6,12,3,225,351,13,3,179,377,15,16,4,20,2,180,328,23,64,2
