IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KY_20201103_GEN_PRE_REP_TRUMP,USA_KY_20201103_GEN_PRE_DEM_BIDEN,USA_KY_20201103_GEN_PRE_LIB_JORGENSEN,USA_KY_20201103_GEN_PRE_IND_WEST,USA_KY_20201103_GEN_PRE_IND_PIERCE,USA_KY_20201103_GEN_USS_REP_MCCONNELL,USA_KY_20201103_GEN_USS_DEM_MCGRATH,USA_KY_20201103_GEN_USS_LIB_BARRON
0,_111,_PRECINCT 152 32 DISTRICT,_00E152,494,509,10,2,2,545,463,13
0,_111,_PRECINCT 152 33 DISTRICT,_00F152,599,527,15,0,0,620,505,17
0,_111,_PRECINCT 152 35 DISTRICT,_00H152,32,96,0,0,0,28,94,6
0,_111,_PRECINCT 152 37 DISTRICT,_00I152,517,434,13,2,3,485,448,38
0,_111,_PRECINCT 152 38 DISTRICT,_00J152,353,158,2,3,0,314,176,26
0,_111,_PRECINCT 152 41 DISTRICT,_00L152,124,203,4,0,1,129,199,5
0,_111,_PRECINCT 152 48 DISTRICT,_00S152,278,390,9,2,1,297,378,9
0,_111,_PRECINCT 153 29 DISTRICT,_00B153,36,26,1,0,0,34,28,1
0,_111,_PRECINCT 153 33 DISTRICT,_00F153,434,428,15,1,3,429,433,25
0,_111,_PRECINCT 153 35 DISTRICT,_00H153,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 153 37 DISTRICT,_00I153,655,625,23,5,1,577,680,47
0,_111,_PRECINCT 153 38 DISTRICT,_00J153,165,70,4,1,0,145,83,13
0,_111,_PRECINCT 153 41 DISTRICT,_00L153,27,48,1,0,0,27,47,1
0,_111,_PRECINCT 153 48 DISTRICT,_00S153,637,782,16,5,1,685,751,22
0,_111,_PRECINCT 154 29 DISTRICT,_00B154,366,400,12,4,3,346,414,32
0,_111,_PRECINCT 154 32 DISTRICT,_00E154,325,399,3,1,4,330,395,14
0,_111,_PRECINCT 154 33 DISTRICT,_00F154,439,394,9,3,1,474,377,5
0,_111,_PRECINCT 154 34 DISTRICT,_00G154,229,438,10,3,0,214,450,20
0,_111,_PRECINCT 154 35 DISTRICT,_00H154,100,95,4,2,0,90,104,5
0,_111,_PRECINCT 154 37 DISTRICT,_00I154,538,721,20,13,6,503,749,55
0,_111,_PRECINCT 154 38 DISTRICT,_00J154,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 154 41 DISTRICT,_00L154,14,349,1,3,0,10,350,5
0,_111,_PRECINCT 155 29 DISTRICT,_00B155,256,359,10,5,2,232,372,24
0,_111,_PRECINCT 155 32 DISTRICT,_00E155,319,518,10,2,1,315,513,24
0,_111,_PRECINCT 155 33 DISTRICT,_00F155,231,213,5,3,0,249,196,9
0,_111,_PRECINCT 155 34 DISTRICT,_00G155,233,536,16,2,3,216,554,24
0,_111,_PRECINCT 155 35 DISTRICT,_00H155,90,152,4,2,0,81,162,3
0,_111,_PRECINCT 155 37 DISTRICT,_00I155,35,9,0,0,0,30,11,1
0,_111,_PRECINCT 155 38 DISTRICT,_00J155,190,64,5,0,0,178,69,11
0,_111,_PRECINCT 155 41 DISTRICT,_00L155,7,4,0,0,0,7,4,0
0,_111,_PRECINCT 156 29 DISTRICT,_00B156,544,584,17,1,3,517,575,58
0,_111,_PRECINCT 156 33 DISTRICT,_00F156,453,489,16,3,0,434,491,38
0,_111,_PRECINCT 156 34 DISTRICT,_00G156,392,497,8,5,0,437,458,13
0,_111,_PRECINCT 156 35 DISTRICT,_00H156,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 156 37 DISTRICT,_00I156,175,143,3,3,1,166,150,9
0,_111,_PRECINCT 156 41 DISTRICT,_00L156,106,585,8,5,1,102,594,10
0,_111,_PRECINCT 156 48 DISTRICT,_00S156,198,358,9,3,2,188,356,25
0,_111,_PRECINCT 157 29 DISTRICT,_00B157,733,754,22,3,4,672,784,59
0,_111,_PRECINCT 157 32 DISTRICT,_00E157,121,119,4,0,1,115,126,4
0,_111,_PRECINCT 157 34 DISTRICT,_00G157,362,615,12,1,0,373,599,25
0,_111,_PRECINCT 157 35 DISTRICT,_00H157,4,21,0,0,0,4,22,0
0,_111,_PRECINCT 157 41 DISTRICT,_00L157,8,471,1,3,1,9,472,4
0,_111,_PRECINCT 158 29 DISTRICT,_00B158,723,385,8,3,2,718,390,20
0,_111,_PRECINCT 158 32 DISTRICT,_00E158,212,294,8,0,2,220,287,13
0,_111,_PRECINCT 158 33 DISTRICT,_00F158,169,136,5,1,0,169,135,8
0,_111,_PRECINCT 158 34 DISTRICT,_00G158,381,505,6,0,2,388,494,20
0,_111,_PRECINCT 158 35 DISTRICT,_00H158,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 158 41 DISTRICT,_00L158,3,330,1,1,0,4,326,4
0,_111,_PRECINCT 159 29 DISTRICT,_00B159,1063,933,41,12,7,1032,956,75
0,_111,_PRECINCT 159 32 DISTRICT,_00E159,201,240,4,0,3,207,233,9
0,_111,_PRECINCT 159 34 DISTRICT,_00G159,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 159 35 DISTRICT,_00H159,114,110,6,1,0,103,116,8
0,_111,_PRECINCT 159 41 DISTRICT,_00L159,4,131,1,1,1,6,130,2
0,_111,_PRECINCT 159 42 DISTRICT,_00M159,38,188,5,4,0,33,196,3
0,_111,_PRECINCT 160 29 DISTRICT,_00B160,300,253,12,1,1,282,260,23
0,_111,_PRECINCT 160 32 DISTRICT,_00E160,371,341,6,0,2,366,337,21
0,_111,_PRECINCT 160 34 DISTRICT,_00G160,220,232,5,3,1,219,231,14
0,_111,_PRECINCT 160 35 DISTRICT,_00H160,380,655,19,5,1,344,670,42
0,_111,_PRECINCT 160 41 DISTRICT,_00L160,12,272,4,4,0,9,274,8
0,_111,_PRECINCT 160 42 DISTRICT,_00M160,24,117,3,0,0,22,119,3
0,_111,_PRECINCT 160 48 DISTRICT,_00S160,1198,1145,23,4,2,1283,1069,37
0,_111,_PRECINCT 161 29 DISTRICT,_00B161,69,38,1,0,1,62,45,2
0,_111,_PRECINCT 161 32 DISTRICT,_00E161,260,161,3,1,1,273,154,5
0,_111,_PRECINCT 161 33 DISTRICT,_00F161,360,286,8,1,0,373,266,19
0,_111,_PRECINCT 161 34 DISTRICT,_00G161,140,363,6,1,1,159,350,4
