IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ND_20201103_GEN_PRE_REP_TRUMP,USA_ND_20201103_GEN_PRE_DEM_BIDEN,USA_ND_20201103_GEN_PRE_LIB_JORGENSEN,USA_ND_20201103_GEN_PRE_OTH_WRITEIN,USA_ND_20201103_GEN_HAL_REP_ARMSTRONG,USA_ND_20201103_GEN_HAL_DEM_RAKNERUD,USA_ND_20201103_GEN_HAL_LIB_PETERSON,USA_ND_20201103_GEN_HAL_OTH_WRITEIN,USA_ND_20201103_GEN_GOV_REP_BURGUM,USA_ND_20201103_GEN_GOV_DEM_LENZ,USA_ND_20201103_GEN_GOV_LIB_HENDRICKSON,USA_ND_20201103_GEN_GOV_OTH_WRITEIN,USA_ND_20201103_GEN_AUD_REP_GALLION,USA_ND_20201103_GEN_AUD_DEM_HART,USA_ND_20201103_GEN_AUD_OTH_WRITEIN,USA_ND_20201103_GEN_TRE_REP_BEADLE,USA_ND_20201103_GEN_TRE_DEM_HAUGEN,USA_ND_20201103_GEN_TRE_OTH_WRITEIN,USA_ND_20201103_GEN_INS_REP_GODFREAD,USA_ND_20201103_GEN_INS_OTH_WRITEIN,USA_ND_20201103_GEN_PSC_REP_KROSHUS,USA_ND_20201103_GEN_PSC_DEM_BUCKMANN,USA_ND_20201103_GEN_PSC_OTH_WRITEIN
0,_011,_Rhame,_Rhame,206,10,1,0,203,12,4,0,167,8,6,36,198,17,0,181,30,3,207,1,193,16,0
0,_011,_Scranton,_Scranton,224,48,3,3,231,42,7,0,222,35,6,16,216,55,0,204,67,0,253,3,212,55,0
0,_013,_Precinct 01,_Precinct 01,49,6,2,0,47,6,2,0,46,4,3,4,48,7,0,49,7,0,55,0,48,8,0
0,_013,_Precinct 02,_Precinct 02,249,44,6,3,250,44,4,0,242,40,8,9,247,45,0,240,49,0,259,5,243,45,1
0,_013,_Precinct 03,_Precinct 03,361,43,8,0,354,49,4,0,284,42,12,69,340,63,1,334,67,0,384,0,343,58,1
0,_013,_Precinct 04,_Precinct 04,147,17,1,1,142,16,2,0,123,21,11,8,137,17,0,136,18,1,150,2,133,25,0
0,_013,_Precinct 05,_Precinct 05,128,12,2,0,124,11,4,0,105,13,5,18,122,14,0,120,17,0,127,1,124,13,0
0,_013,_Precinct 06,_Precinct 06,60,15,1,0,60,14,1,0,60,9,4,2,57,16,0,58,15,0,69,0,59,13,1
0,_015,_Bismarck Event Center 3201,_Bismarck Event Center 3201,446,232,23,2,468,197,32,2,414,202,36,43,438,241,1,424,253,2,568,15,442,234,2
0,_015,_Bismarck Event Center 3202,_Bismarck Event Center 3202,420,331,29,10,448,283,38,1,382,297,41,62,428,323,2,378,362,9,573,20,441,305,4
