IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MI_20201103_GEN_PRE_DEM_BIDEN,USA_MI_20201103_GEN_PRE_REP_TRUMP,USA_MI_20201103_GEN_PRE_LIB_JORGENSEN,USA_MI_20201103_GEN_PRE_TAX_BLANKENSHIP,USA_MI_20201103_GEN_PRE_GRE_HAWKINS,USA_MI_20201103_GEN_PRE_NAT_FUENTE,USA_MI_20201103_GEN_USS_DEM_PETERS,USA_MI_20201103_GEN_USS_REP_JAMES,USA_MI_20201103_GEN_USS_TAX_WILLIS,USA_MI_20201103_GEN_USS_GRE_SQUIER,USA_MI_20201103_GEN_USS_NAT_DERN
0,_Alpine Township,"_Alpine Township, Precinct 6",_Alpine Twp 6,725,310,14,1,4,0,682,320,16,17,4
0,_Amber Township,"_Amber Township, Precinct 1",_Amber Twp 1,549,889,12,2,2,0,532,904,5,9,1
0,_Amboy Township,"_Amboy Township, Precinct 1",_Amboy Twp 1,150,509,7,3,1,0,162,477,8,8,3
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 1",_Ann Arbor 1-1,829,102,3,0,1,0,775,127,2,7,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 10",_Ann Arbor 1-10,1413,166,6,3,11,3,1363,196,9,21,4
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 11",_Ann Arbor 1-11,765,195,5,0,1,0,740,213,2,5,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 12",_Ann Arbor 1-12,516,55,3,0,1,0,482,74,0,5,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 2",_Ann Arbor 1-2,984,118,9,2,3,0,946,139,4,21,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 3",_Ann Arbor 1-3,648,42,1,0,2,0,608,66,0,10,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 4",_Ann Arbor 1-4,587,48,2,0,2,0,563,64,3,3,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 5",_Ann Arbor 1-5,1057,93,8,0,4,0,1037,109,2,13,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 6",_Ann Arbor 1-6,811,66,6,1,2,0,785,89,4,6,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 7",_Ann Arbor 1-7,467,58,5,0,2,0,444,63,1,8,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 8",_Ann Arbor 1-8,1246,134,6,0,2,0,1199,183,1,5,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 1, Precinct 9",_Ann Arbor 1-9,1150,164,14,4,4,0,1094,208,6,16,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 2, Precinct 1",_Ann Arbor 2-1,590,72,8,0,4,1,553,109,2,13,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 2, Precinct 2",_Ann Arbor 2-2,735,98,3,1,1,1,676,131,1,8,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 2, Precinct 3",_Ann Arbor 2-3,888,97,5,0,0,0,817,150,0,5,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 2, Precinct 4",_Ann Arbor 2-4,1216,166,8,0,1,0,1175,209,1,5,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 2, Precinct 5",_Ann Arbor 2-5,1293,203,10,0,3,0,1230,262,1,7,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 2, Precinct 6",_Ann Arbor 2-6,1279,221,11,0,1,0,1220,277,6,3,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 2, Precinct 7",_Ann Arbor 2-7,1436,225,10,0,4,2,1391,274,2,8,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 2, Precinct 8",_Ann Arbor 2-8,1155,205,7,2,4,0,1129,233,5,6,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 2, Precinct 9",_Ann Arbor 2-9,1528,266,15,2,5,0,1448,324,5,18,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 1",_Ann Arbor 3-1,1245,157,12,0,0,0,1135,219,4,13,2
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 10",_Ann Arbor 3-10,1110,133,10,1,6,0,1083,168,2,10,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 2",_Ann Arbor 3-2,1401,161,6,0,0,2,1311,220,0,9,2
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 3",_Ann Arbor 3-3,1161,87,5,0,1,0,1129,121,1,2,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 4",_Ann Arbor 3-4,1161,124,12,0,2,0,1136,157,4,13,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 5",_Ann Arbor 3-5,1435,278,17,1,11,0,1401,275,14,23,2
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 6",_Ann Arbor 3-6,1038,166,14,0,3,2,996,185,10,21,2
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 7",_Ann Arbor 3-7,969,172,11,0,2,0,934,202,2,9,2
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 8",_Ann Arbor 3-8,1284,218,11,1,7,1,1250,233,10,21,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 3, Precinct 9",_Ann Arbor 3-9,1321,252,13,0,7,0,1275,265,7,34,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 1",_Ann Arbor 4-1,764,90,4,0,0,0,725,109,0,6,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 10",_Ann Arbor 4-10,833,186,9,0,1,0,792,209,8,12,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 2",_Ann Arbor 4-2,750,50,8,0,3,0,718,82,1,9,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 3",_Ann Arbor 4-3,1339,152,6,0,3,0,1281,183,2,15,4
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 4",_Ann Arbor 4-4,1431,171,20,1,4,0,1389,219,6,8,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 5",_Ann Arbor 4-5,1465,168,14,0,10,0,1402,231,5,15,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 6",_Ann Arbor 4-6,1415,215,9,3,2,1,1351,273,9,18,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 7",_Ann Arbor 4-7,1434,222,13,0,5,2,1398,262,1,11,2
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 8",_Ann Arbor 4-8,1386,184,22,0,12,1,1330,242,9,21,2
0,_Ann Arbor City,"_Ann Arbor City, Ward 4, Precinct 9",_Ann Arbor 4-9,1072,206,10,0,0,0,1028,248,2,2,0
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 1",_Ann Arbor 5-1,855,73,5,0,4,0,824,90,2,11,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 10",_Ann Arbor 5-10,1588,276,16,0,7,1,1515,323,8,10,3
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 11",_Ann Arbor 5-11,1089,67,4,0,4,0,1071,84,0,3,2
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 12",_Ann Arbor 5-12,853,118,1,0,4,0,825,134,4,7,1
0,_Ann Arbor City,"_Ann Arbor City, Ward 5, Precinct 2",_Ann Arbor 5-2,1657,109,4,1,5,0,1610,136,4,10,0
