IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SC_20161108_GEN_PRE_REP_TRUMP,USA_SC_20161108_GEN_PRE_DEM_CLINTON,USA_SC_20161108_GEN_PRE_LIB_JOHNSON,USA_SC_20161108_GEN_PRE_GRE_STEIN,USA_SC_20161108_GEN_PRE_IND_MCMULLIN,USA_SC_20161108_GEN_PRE_CON_CASTLE,USA_SC_20161108_GEN_PRE_AME_SKEWES,USA_SC_20161108_GEN_USS_REP_SCOTT,USA_SC_20161108_GEN_USS_DEM_DIXON,USA_SC_20161108_GEN_USS_LIB_BLEDSOE,USA_SC_20161108_GEN_USS_AME_SCARBOROUGH,USA_SC_20161108_GEN_USS_OTH_WRITEIN
0,_019,_St. Andrews 31,_531,373,331,36,7,19,3,0,465,267,19,3,1
0,_019,_St. Andrews 32,_532,490,293,37,7,12,1,0,574,225,17,3,0
0,_019,_St. Andrews 33,_533,278,171,19,4,0,0,0,322,123,12,1,0
0,_019,_St. Andrews 34,_534,781,463,64,16,19,2,3,984,338,10,1,2
0,_019,_St. Andrews 35,_535,662,399,51,10,16,2,0,815,272,29,0,0
0,_019,_St. Andrews 36,_536,726,423,60,9,21,4,3,906,282,27,1,1
0,_019,_St. Andrews 37,_537,1201,907,107,17,44,0,5,1481,687,49,9,3
0,_019,_CHARLESTON 1,_701,398,229,35,1,8,0,0,531,123,5,1,0
0,_019,_CHARLESTON 2,_702,365,296,32,4,13,0,1,521,162,6,5,1
0,_019,_CHARLESTON 3,_703,323,408,50,10,9,0,0,556,244,10,3,3
0,_019,_CHARLESTON 4,_704,230,383,42,10,13,0,0,358,289,16,4,1
0,_019,_CHARLESTON 5,_705,243,370,36,4,5,1,1,380,247,12,2,0
0,_019,_CHARLESTON 6,_706,255,449,37,13,8,4,0,365,356,11,9,6
0,_019,_CHARLESTON 7,_707,292,521,44,19,8,2,1,439,420,15,9,0
0,_019,_CHARLESTON 8,_708,53,652,27,13,7,1,1,127,588,20,3,4
0,_019,_CHARLESTON 9,_709,116,452,24,7,7,1,3,211,373,11,4,0
0,_019,_CHARLESTON 10,_710,65,325,20,15,1,0,0,134,267,13,1,1
0,_019,_CHARLESTON 11,_711,243,583,59,9,23,4,1,441,434,29,5,6
0,_019,_CHARLESTON 12,_712,167,693,35,10,11,0,1,279,580,20,6,0
0,_019,_CHARLESTON 13,_713,96,657,41,5,7,3,0,196,579,19,3,0
0,_019,_CHARLESTON 14,_714,121,527,29,12,9,0,0,195,460,24,4,1
0,_019,_CHARLESTON 15,_715,29,748,11,9,5,0,1,83,685,13,5,0
0,_019,_CHARLESTON 16,_716,93,675,34,15,8,1,0,199,568,21,8,1
0,_019,_CHARLESTON 17,_717,104,548,46,7,13,0,0,249,441,15,10,1
0,_019,_CHARLESTON 18,_718,66,867,14,17,11,1,0,159,788,8,3,0
0,_019,_CHARLESTON 19,_719,74,531,19,9,5,3,1,139,468,15,5,0
0,_019,_CHARLESTON 20,_720,223,696,51,11,20,1,1,423,537,25,6,1
0,_019,_CHARLESTON 21,_721,51,417,14,2,1,1,0,86,384,8,2,1
0,_019,_NORTH CHARLESTON 1,_901,20,525,1,2,5,0,1,60,484,3,0,0
