IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20201103_GEN_PRE_DEM_BIDEN,USA_OR_20201103_GEN_PRE_REP_TRUMP,USA_OR_20201103_GEN_PRE_LIB_JORGENSEN,USA_OR_20201103_GEN_PRE_GRE_HAWKINS,USA_OR_20201103_GEN_PRE_PRO_HUNTER,USA_OR_20201103_GEN_PRE_OTH_WRITEIN,USA_OR_20201103_GEN_USS_DEM_MERKLEY,USA_OR_20201103_GEN_USS_REP_PERKINS,USA_OR_20201103_GEN_USS_LIB_DYE,USA_OR_20201103_GEN_USS_GRE_TAHER,USA_OR_20201103_GEN_USS_OTH_WRITEIN,USA_OR_20201103_GEN_ATG_DEM_ROSENBLUM,USA_OR_20201103_GEN_ATG_REP_CROSS,USA_OR_20201103_GEN_ATG_LIB_HEDBOR,USA_OR_20201103_GEN_ATG_OTH_WRITEIN,USA_OR_20201103_GEN_SOS_DEM_FAGAN,USA_OR_20201103_GEN_SOS_REP_THATCHER,USA_OR_20201103_GEN_SOS_LIB_MARKLEY,USA_OR_20201103_GEN_SOS_GRE_PARAVICINI,USA_OR_20201103_GEN_SOS_OTH_WRITEIN,USA_OR_20201103_GEN_TRE_DEM_READ,USA_OR_20201103_GEN_TRE_REB_GUDMAN,USA_OR_20201103_GEN_TRE_IND_HENRY,USA_OR_20201103_GEN_TRE_CON_MARSH,USA_OR_20201103_GEN_TRE_OTH_WRITEIN
0,_Multnomah,_3602,_3602,5312,405,49,43,13,38,5075,436,75,173,4,4960,514,82,8,4536,592,112,330,3,4490,712,318,25,1
0,_Multnomah,_3603,_3603,6867,871,99,62,37,80,6613,810,156,296,5,6487,907,213,13,5858,1038,228,550,6,5844,1112,533,121,7
0,_Multnomah,_3604,_3604,130,34,2,1,0,3,128,37,2,2,0,125,40,0,1,113,44,0,6,3,113,48,5,0,0
0,_Multnomah,_3605,_3605,2117,302,24,10,3,11,1991,345,41,37,6,1929,381,30,9,1741,503,31,65,2,1709,544,71,15,1
0,_Multnomah,_3606,_3606,1648,189,20,10,5,17,1613,189,29,35,4,1559,219,31,4,1446,241,40,84,5,1475,246,84,10,2
0,_Multnomah,_3607,_3607,5199,581,52,24,14,44,5037,634,67,102,5,4821,718,65,17,4455,859,98,235,13,4436,942,207,30,3
0,_Multnomah,_3608,_3608,4469,551,70,22,13,39,4284,579,80,128,5,4155,646,74,17,3837,762,112,213,5,3758,846,236,43,4
0,_Multnomah,_3609,_3609,438,80,6,1,0,6,419,97,4,6,0,399,107,2,1,365,123,7,12,0,367,131,11,0,0
0,_Multnomah,_3610,_3610,3199,426,40,18,2,32,3119,440,50,63,2,3014,503,50,5,2788,599,60,118,5,2752,632,126,29,1
0,_Multnomah,_3611,_3611,4694,640,69,28,12,46,4585,647,78,95,1,4431,728,84,11,4112,822,114,203,8,4109,875,186,46,3
0,_Multnomah,_3612,_3612,4486,536,82,50,22,39,4326,492,82,187,9,4248,568,92,12,3919,598,118,310,1,3887,632,319,61,3
0,_Multnomah,_3801,_3801,53,9,4,0,0,0,49,12,1,1,0,48,13,1,0,45,14,1,0,0,44,15,0,1,0
0,_Multnomah,_3802,_3802,7706,1241,121,54,13,73,7434,1301,139,183,7,7192,1431,139,25,6713,1597,182,343,8,6623,1721,351,68,6
0,_Multnomah,_3803,_3803,5254,688,75,35,11,60,5130,664,95,140,8,4989,721,100,12,4602,837,142,288,5,4552,890,298,60,2
0,_Multnomah,_3804,_3804,1126,150,14,9,3,6,1090,157,19,25,1,1067,173,16,3,955,206,26,78,0,949,226,74,17,0
0,_Multnomah,_3805,_3805,683,132,8,5,1,1,650,132,8,26,1,638,144,12,2,594,157,16,29,0,586,169,29,9,0
0,_Multnomah,_3806,_3806,1574,422,28,7,2,23,1544,416,36,34,6,1467,458,33,6,1376,505,43,60,0,1346,555,66,14,0
0,_Multnomah,_3807,_3807,836,264,15,0,0,24,789,307,21,9,1,741,330,17,2,650,400,25,21,0,637,425,19,8,1
0,_Multnomah,_3808,_3808,121,8,1,3,0,1,113,9,1,9,0,116,10,1,0,96,16,3,13,1,99,18,9,0,0
0,_Multnomah,_4101,_4101,8409,806,84,49,23,61,8149,808,118,200,5,7928,896,146,26,7400,1057,149,461,5,7404,1064,470,67,3
0,_Multnomah,_4102,_4102,4131,718,56,33,14,35,4013,676,70,104,6,3889,716,80,13,3634,772,104,224,1,3602,765,263,52,5
0,_Multnomah,_4103,_4103,3367,357,33,17,2,23,3261,397,53,49,3,3130,438,42,4,2894,573,63,112,4,2910,586,111,13,2
0,_Multnomah,_4203,_4203,9728,477,84,89,34,113,9383,459,127,395,11,9349,511,161,23,8555,549,178,815,10,8411,637,846,86,10
0,_Multnomah,_4204,_4204,8064,400,56,67,15,47,7857,374,80,238,9,7736,444,86,24,7211,511,100,497,13,7133,581,475,40,11
0,_Multnomah,_4205,_4205,3975,216,46,28,14,38,3887,210,46,115,5,3816,236,59,10,3615,266,65,220,4,3542,303,238,31,4
0,_Multnomah,_4207,_4207,4750,217,33,50,16,39,4637,213,41,158,2,4600,239,64,6,4220,276,72,339,6,4198,282,342,31,2
0,_Multnomah,_4208,_4208,2989,190,33,23,8,25,2901,184,26,99,5,2864,188,42,12,2653,224,46,197,4,2637,239,184,20,3
0,_Multnomah,_4209,_4209,6966,566,77,78,19,82,6732,540,76,317,4,6706,629,104,11,6148,656,155,536,5,6061,686,603,57,4
0,_Multnomah,_4210,_4210,9237,951,102,96,32,92,8973,877,117,383,11,8883,964,175,29,8178,1031,193,692,8,8118,1073,671,97,10
0,_Multnomah,_4301,_4301,8816,458,69,59,21,54,8550,402,86,281,7,8452,476,123,15,7903,513,141,540,8,7774,559,601,50,6
0,_Multnomah,_4302,_4302,9981,572,103,83,27,70,9641,528,117,368,6,9544,606,143,35,8802,678,207,697,13,8689,775,700,80,16
0,_Multnomah,_4304,_4304,7128,361,43,52,12,48,6949,372,59,169,6,6812,431,91,17,6458,475,96,343,6,6343,543,353,45,6
0,_Multnomah,_4305,_4305,8800,847,65,61,29,67,8527,802,88,281,4,8370,884,128,19,7859,917,156,490,16,7764,945,548,77,5
