IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KS_20161108_GEN_PRE_DEM_CLINTON,USA_KS_20161108_GEN_PRE_REP_TRUMP,USA_KS_20161108_GEN_PRE_LIB_JOHNSON,USA_KS_20161108_GEN_PRE_GRE_STEIN,USA_KS_20161108_GEN_PRE_OTH_WRITEIN,USA_KS_20161108_GEN_USS_DEM_WIESNER,USA_KS_20161108_GEN_USS_REP_MORAN,USA_KS_20161108_GEN_USS_LIB_GARRARD,USA_KS_20161108_GEN_USS_OTH_WRITEIN
0,_011,_Fort Scott Ward 1 Exclave Red Barn,_Fort Scott Ward 1 Exclave Red Barn,0,0,0,0,0,0,0,0,0
0,_011,_Fort Scott Ward 1 Exclave Red Ram A,_Fort Scott Ward 1 Exclave Red Ram A,0,0,0,0,0,0,0,0,0
0,_011,_Fort Scott Ward 1 Exclave Red Ram B,_Fort Scott Ward 1 Exclave Red Ram B,0,0,0,0,0,0,0,0,0
0,_011,_Fort Scott Ward 2,_Fort Scott Ward 2,123,241,22,6,2,115,244,29,0
0,_011,_Fort Scott Ward 3,_Fort Scott Ward 3,52,102,5,4,0,50,101,13,0
0,_011,_Fort Scott Ward 4,_Fort Scott Ward 4,95,254,20,15,4,94,265,27,0
0,_011,_Fort Scott Ward 4 Exclave A,_Fort Scott Ward 4 Exclave A,0,0,0,0,0,0,0,0,0
0,_011,_Fort Scott Ward 4 Exclave B,_Fort Scott Ward 4 Exclave B,0,0,0,0,0,0,0,0,0
0,_011,_Fort Scott Ward 4 Exclave C,_Fort Scott Ward 4 Exclave C,0,0,0,0,0,0,0,0,0
0,_011,_Fort Scott Ward 4 Exclave D,_Fort Scott Ward 4 Exclave D,0,0,0,0,0,0,0,0,0
0,_011,_Fort Scott Ward 5,_Fort Scott Ward 5,106,317,18,7,2,93,331,30,0
0,_011,_Fort Scott Ward 6,_Fort Scott Ward 6,144,373,23,9,3,131,392,29,0
0,_011,_Fort Scott Ward 6 Exclave A,_Fort Scott Ward 6 Exclave A,0,0,0,0,0,0,0,0,0
0,_011,_Fort Scott Ward 7,_Fort Scott Ward 7,122,376,13,9,1,128,359,30,0
0,_011,_Franklin Township Voting District,_Franklin Township Voting District,24,113,3,0,0,22,109,9,0
0,_011,_Freedom Township Voting District,_Freedom Township Voting District,23,151,8,5,0,29,143,10,0
0,_011,_Marion Township Voting District,_Marion Township Voting District,71,413,8,4,0,81,386,26,0
0,_011,_Marmaton Township Voting District,_Marmaton Township Voting District,70,253,9,5,3,77,251,23,0
0,_011,_Mill Creek Township Voting District,_Mill Creek Township Voting District,43,179,13,3,0,42,180,13,0
0,_011,_North Scott Township Voting District,_North Scott Township Voting District,79,287,11,8,0,79,288,18,0
0,_011,_Osage Township Voting District,_Osage Township Voting District,34,163,5,6,0,48,149,12,0
0,_011,_Pawnee Township Voting District,_Pawnee Township Voting District,25,114,2,3,0,23,112,6,0
0,_011,_South Scott Township Voting District,_South Scott Township Voting District,147,581,23,9,3,125,616,29,0
0,_011,_Timberhill Township Voting District,_Timberhill Township Voting District,21,80,4,2,0,23,74,6,0
0,_011,_Walnut Township Voting District,_Walnut Township Voting District,4,47,1,1,1,5,46,1,0
0,_013,_Hamlin Township Voting District,_Hamlin Township Voting District,12,73,0,1,0,9,77,1,0
0,_013,_Hiawatha City Ward 1,_Hiawatha City Ward 1,50,102,12,5,0,38,117,13,0
0,_013,_Hiawatha City Ward 2,_Hiawatha City Ward 2,165,366,27,10,0,130,420,17,0
0,_013,_Hiawatha City Ward 3,_Hiawatha City Ward 3,120,303,23,25,1,96,342,33,0
0,_013,_Hiawatha City Ward 3 Exclave,_Hiawatha City Ward 3 Exclave,0,0,0,0,0,0,0,0,0
0,_013,_Hiawatha City Ward 4,_Hiawatha City Ward 4,14,49,2,2,0,15,47,6,0
0,_013,_Hiawatha City Ward 4 Exclave Club,_Hiawatha City Ward 4 Exclave Club,0,0,0,0,0,0,0,0,0
0,_013,_Hiawatha Township Voting District,_Hiawatha Township Voting District,46,271,7,2,0,35,274,16,0
0,_013,_Horton Ward 1,_Horton Ward 1,54,174,9,4,1,54,179,11,0
0,_013,_Horton Ward 2,_Horton Ward 2,28,145,4,4,0,30,148,5,0
0,_013,_Horton Ward 3,_Horton Ward 3,26,88,5,5,0,34,84,6,0
0,_013,_Horton Ward 3 Exclave A,_Horton Ward 3 Exclave A,0,0,0,0,0,0,0,0,0
0,_013,_Horton Ward 3 Exclave B,_Horton Ward 3 Exclave B,0,0,0,0,0,0,0,0,0
0,_013,_Irving Township Voting District,_Irving Township Voting District,27,103,4,2,0,26,103,4,0
0,_013,_Mission Township Voting District,_Mission Township Voting District,44,257,10,6,0,44,265,9,0
0,_013,_Morrill Township Voting District,_Morrill Township Voting District,24,177,5,7,3,21,192,12,0
0,_013,_Padonia Township Voting District,_Padonia Township Voting District,18,62,13,2,0,13,77,7,0
0,_013,_Powhattan Township Voting District,_Powhattan Township Voting District,101,139,6,10,0,88,156,13,0
0,_013,_Reserve Township Voting District,_Reserve Township Voting District,11,48,0,5,0,10,48,4,0
0,_013,_Robinson Township Voting District,_Robinson Township Voting District,39,137,14,2,0,38,140,14,0
0,_013,_Sabetha Ward 1 Part 1 Exclave,_Sabetha Ward 1 Part 1 Exclave,0,0,0,0,0,0,0,0,0
0,_013,_Sabetha Ward 1 Part A,_Sabetha Ward 1 Part A,0,0,0,0,0,0,0,0,0
0,_013,_Sabetha Ward 1 Part B,_Sabetha Ward 1 Part B,0,0,0,0,0,0,0,0,0
0,_013,_Sabetha Ward 4 Part A,_Sabetha Ward 4 Part A,0,0,0,0,0,0,0,0,0
0,_013,_Sabetha Ward 4 Part B,_Sabetha Ward 4 Part B,0,0,0,0,0,0,0,0,0
0,_013,_Sabetha Ward 5,_Sabetha Ward 5,0,0,0,0,0,0,0,0,0
0,_013,_Walnut Township Voting District,_Walnut Township Voting District,47,221,7,3,7,37,239,12,0
0,_013,_Washington Township Voting District,_Washington Township Voting District,37,191,10,2,0,33,197,8,0
0,_015,_Andover City W2 385-3 99 CM 1 Exclave 1,_Andover City W2 385-3 99 CM 1 Exclave 1,0,0,0,0,0,0,0,0,0
0,_015,_Andover City W2 385-3 99 CM 1 Exclave 2,_Andover City W2 385-3 99 CM 1 Exclave 2,0,0,0,0,0,0,0,0,0
0,_015,_Andover City Ward 1 Exclave A Voting District,_Andover City Ward 1 Exclave A Voting District,0,0,0,0,0,0,0,0,0
