IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_LA_20201103_GEN_PRE_REP_TRUMP,USA_LA_20201103_GEN_PRE_DEM_BIDEN,USA_LA_20201103_GEN_PRE_LIB_JORGENSEN,USA_LA_20201103_GEN_PRE_BIR_WEST,USA_LA_20201103_GEN_PRE_OTH_OTHER,USA_LA_20201103_GEN_USS_REP_CASSIDY,USA_LA_20201103_GEN_USS_REP_MURPHY,USA_LA_20201103_GEN_USS_DEM_PERKINS,USA_LA_20201103_GEN_USS_DEM_EDWARDS,USA_LA_20201103_GEN_USS_DEM_PIERCE,USA_LA_20201103_GEN_USS_DEM_KNIGHT,USA_LA_20201103_GEN_USS_DEM_WENSTRUP,USA_LA_20201103_GEN_USS_LIB_SIGLER,USA_LA_20201103_GEN_USS_IND_MENDOZA,USA_LA_20201103_GEN_USS_OTH_PRICE,USA_LA_20201103_GEN_USS_GOL_JOHN,USA_LA_20201103_GEN_USS_NON_BILLIOT,USA_LA_20201103_GEN_USS_NON_BOURGEOIS,USA_LA_20201103_GEN_USS_NON_MONTGOMERY,USA_LA_20201103_GEN_USS_NON_DARET_III
0,_071,_12-13,_012-13,13,314,0,0,0,17,0,136,79,16,11,0,0,2,2,0,6,6,0,0
0,_071,_12-14,_012-14,50,511,1,0,5,61,2,246,145,41,17,12,3,0,2,0,0,3,0,0
0,_071,_12-16,_012-16,21,505,4,6,9,27,5,240,120,44,25,2,0,3,5,2,7,2,0,4
0,_071,_12-17,_012-17,53,622,9,4,5,69,0,311,147,33,21,12,7,10,3,0,3,9,5,3
0,_071,_12-19,_012-19,21,544,9,3,2,34,2,258,132,41,13,2,0,2,5,2,6,9,3,0
0,_071,_13-10,_013-10,137,276,7,1,2,167,0,195,34,11,13,12,0,2,0,0,0,2,0,0
0,_071,_13-11,_013-11,50,678,7,3,3,68,0,398,111,54,36,10,3,2,2,2,6,6,0,1
0,_071,_13-12,_013-12,22,388,3,3,0,30,0,272,59,35,2,10,3,0,2,2,0,0,0,0
0,_071,_13-13,_013-13,40,297,4,6,0,52,0,175,45,57,6,5,3,0,0,0,3,0,1,0
0,_071,_13-14,_013-14,53,485,6,3,2,81,2,293,95,38,17,2,2,0,3,0,0,10,3,1
0,_071,_13-15,_013-15,50,337,0,1,3,52,3,216,70,30,8,5,0,0,0,0,4,2,0,1
0,_071,_13-16,_013-16,72,292,7,3,3,79,2,219,48,22,6,5,5,0,0,0,2,2,0,3
0,_071,_14-10,_014-10,188,248,7,3,3,223,2,157,27,27,4,5,2,3,2,0,1,2,0,0
0,_071,_14-11,_014-11,143,251,7,1,2,193,3,139,25,14,13,2,2,2,2,2,1,3,0,0
0,_071,_14-12,_014-12,84,312,10,0,0,112,2,213,25,27,8,7,3,2,3,2,0,3,0,0
0,_071,_14-14,_014-14,207,190,7,0,0,250,0,142,9,5,2,2,2,0,0,0,0,0,0,0
0,_071,_14-15,_014-15,199,200,7,1,3,228,2,157,5,22,8,2,2,0,3,0,0,2,0,0
0,_071,_14-16,_014-16,162,395,9,3,7,188,5,296,36,38,8,2,10,0,2,0,0,2,1,0
0,_071,_14-17,_014-17,87,195,10,1,7,108,0,154,14,27,0,7,3,3,0,0,1,0,1,0
0,_071,_14-19,_014-19,109,365,12,0,5,130,0,278,36,35,8,5,7,2,2,3,0,3,0,1
0,_071,_14-20,_014-20,190,456,13,3,0,220,10,321,50,19,13,17,9,5,2,2,1,6,0,0
0,_071,_14-21,_014-21,132,345,13,1,3,172,0,207,43,33,8,7,7,0,2,2,0,2,3,1
0,_071,_14-23,_014-23,29,378,1,3,0,32,3,178,79,30,13,7,0,0,2,2,1,3,1,1
0,_071,_14-25,_014-25,75,363,1,3,2,78,2,234,54,38,13,15,2,3,2,0,1,3,0,1
0,_071,_14-26,_014-26,19,513,1,1,2,25,3,190,125,35,39,2,3,3,5,2,12,10,3,0
0,_071,_15-10,_015-10,18,632,4,7,3,19,2,293,170,33,27,15,0,2,3,2,13,6,0,4
0,_071,_15-11,_015-11,10,622,3,1,3,27,3,234,184,44,17,12,0,3,2,3,7,6,3,0
0,_071,_15-12,_015-12,32,231,0,3,2,17,3,113,75,11,6,0,0,0,3,0,4,2,0,3
0,_071,_15-13,_015-13,32,516,4,0,3,29,8,190,166,33,19,17,3,0,8,0,10,6,6,0
0,_071,_15-14,_015-14,127,383,7,3,0,127,0,195,111,24,15,10,3,0,0,0,6,7,0,1
0,_071,_15-15,_015-15,50,683,4,4,5,47,2,267,221,27,29,7,5,3,3,1,4,12,3,6
0,_071,_15-16,_015-16,108,439,4,7,2,103,8,275,104,33,8,2,3,2,2,3,1,4,3,0
0,_071,_15-17,_015-17,143,332,9,1,0,154,2,222,73,16,11,7,7,2,2,0,1,3,1,3
0,_071,_15-18,_015-18,103,269,3,1,0,93,5,124,64,5,13,2,7,5,3,1,1,15,0,0
0,_071,_15-19,_015-19,3,691,3,1,0,14,5,305,197,30,8,17,0,2,12,0,6,6,0,0
0,_071,_16-1A,_016-1A,64,368,3,0,0,73,1,216,61,24,17,2,3,0,2,0,3,6,0,1
0,_071,_17-10,_017-10,32,451,4,0,2,34,3,267,77,38,23,10,3,2,3,3,1,6,1,1
